%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481826105885200177,148,1481826105881062752,,-5.0,0.0
1481826105908328646,149,1481826105901810660,,-5.0,0.0
1481826105925048867,150,1481826105921050504,,-5.0,0.0
1481826105942677574,151,1481826105941311800,,-5.0,0.0
1481826105965648751,152,1481826105961149505,,5.0,0.0
1481826105982644023,153,1481826105981217937,,5.0,0.0
1481826106005530357,154,1481826106001352984,,5.0,0.0
1481826106023335052,155,1481826106021212303,,5.0,0.0
1481826106043746869,156,1481826106041225580,,-5.0,0.0
1481826106063407960,157,1481826106061010837,,-5.0,0.0
1481826106090320574,158,1481826106081426091,,5.0,0.0
1481826106103831907,159,1481826106101463586,,5.0,0.0
1481826106126790845,160,1481826106121144886,,5.0,0.0
1481826106143511796,161,1481826106141490504,,5.0,0.0
1481826106168704055,162,1481826106163035231,,5.0,0.0
1481826106184872404,163,1481826106181677838,,5.0,0.0
1481826106203546157,164,1481826106201201430,,-5.0,0.0
1481826106225381611,165,1481826106221615798,,-5.0,0.0
1481826106243963385,166,1481826106241142203,,5.0,0.0
1481826106265031761,167,1481826106261414749,,5.0,0.0
1481826106285165193,168,1481826106281741201,,5.0,0.0
1481826106305735810,169,1481826106301273126,,5.0,0.0
1481826106324403574,170,1481826106321103644,,5.0,0.0
1481826106346108300,171,1481826106341435096,,5.0,0.0
1481826106364866896,172,1481826106361532174,,-5.0,0.0
1481826106385317149,173,1481826106381233890,,-5.0,0.0
1481826106407509060,174,1481826106402260286,,5.0,0.0
1481826106423196631,175,1481826106421049143,,5.0,0.0
1481826106445797550,176,1481826106441544240,,-5.0,0.0
1481826106464999789,177,1481826106461066425,,-5.0,0.0
1481826106485119524,178,1481826106481756886,,5.0,0.0
1481826106506763677,179,1481826106502695730,,5.0,0.0
1481826106525136077,180,1481826106521745367,,-5.0,0.0
1481826106544482118,181,1481826106541446458,,-5.0,0.0
1481826106564941695,182,1481826106561510932,,5.0,0.0
1481826106584728775,183,1481826106581521344,,5.0,0.0
1481826106605881316,184,1481826106601406444,,-5.0,0.0
1481826106624629912,185,1481826106621484408,,-5.0,0.0
1481826106644405690,186,1481826106641364717,,5.0,0.0
1481826106663246629,187,1481826106661081745,,5.0,0.0
1481826106684349327,188,1481826106681003356,,-5.0,0.0
1481826106703599223,189,1481826106701033195,,-5.0,0.0
1481826106724200569,190,1481826106721038191,,-5.0,0.0
1481826106743581349,191,1481826106741038134,,-5.0,0.0
1481826106764126082,192,1481826106761023651,,-5.0,0.0
1481826106783760975,193,1481826106781021146,,-5.0,0.0
1481826106803742585,194,1481826106801191193,,-5.0,0.0
1481826106822757742,195,1481826106821041606,,-5.0,0.0
1481826106851806595,196,1481826106841193788,,-5.0,0.0
1481826106862964139,197,1481826106861034930,,-5.0,0.0
1481826106883248456,198,1481826106881093936,,-5.0,0.0
1481826106906804369,199,1481826106901938771,,-5.0,0.0
1481826106925062812,200,1481826106921056844,,-5.0,0.0
1481826106944004219,201,1481826106940992882,,-5.0,0.0
1481826106964718117,202,1481826106961424854,,-5.0,0.0
1481826106984935768,203,1481826106981097560,,-5.0,0.0
1481826107003446657,204,1481826107001142451,,5.0,0.0
1481826107023401549,205,1481826107021092863,,5.0,0.0
1481826107043699355,206,1481826107041246191,,-5.0,0.0
1481826107065026843,207,1481826107061202229,,-5.0,0.0
1481826107084794965,208,1481826107081302276,,-5.0,0.0
1481826107104556473,209,1481826107101068002,,-5.0,0.0
1481826107123322464,210,1481826107121038102,,-5.0,0.0
1481826107143340429,211,1481826107141027368,,-5.0,0.0
1481826107163451778,212,1481826107161036687,,-5.0,0.0
1481826107183422450,213,1481826107181016630,,-5.0,0.0
1481826107203164843,214,1481826107201059178,,-5.0,0.0
1481826107226345967,215,1481826107221065215,,-5.0,0.0
1481826107243012231,216,1481826107241077710,,-5.0,0.0
1481826107264201439,217,1481826107261289007,,-5.0,0.0
1481826107287512094,218,1481826107281284159,,5.0,0.0
1481826107303859817,219,1481826107301155301,,5.0,0.0
1481826107325313503,220,1481826107321255869,,-5.0,0.0
1481826107343803194,221,1481826107341264093,,-5.0,0.0
1481826107364570425,222,1481826107361272839,,5.0,0.0
1481826107382972409,223,1481826107381059763,,5.0,0.0
1481826107408277584,224,1481826107403017768,,-5.0,0.0
