%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481826106003553910,154,1481826106001337359,,1498.0,0.0
1481826106022696931,155,1481826106021204335,,1498.0,0.0
1481826106042335939,156,1481826106041217299,,1498.0,0.0
1481826106062612391,157,1481826106061002973,,1498.0,0.0
1481826106088720166,158,1481826106081418539,,1498.0,0.0
1481826106103135661,159,1481826106101455826,,1498.0,0.0
1481826106122121912,160,1481826106121137177,,1498.0,0.0
1481826106142446801,161,1481826106141481963,,1498.0,0.0
1481826106164112413,162,1481826106163028044,,1499.0,0.0
1481826106183648973,163,1481826106181669609,,1498.0,0.0
1481826106202178612,164,1481826106201193670,,1498.0,0.0
1481826106222676105,165,1481826106221608299,,1498.0,0.0
1481826106242949485,166,1481826106241133713,,1498.0,0.0
1481826106263281666,167,1481826106261406728,,1499.0,0.0
1481826106282707394,168,1481826106281733649,,1498.0,0.0
1481826106302463380,169,1481826106301265106,,1499.0,0.0
1481826106322154263,170,1481826106321095779,,1498.0,0.0
1481826106342580819,171,1481826106341427648,,1498.0,0.0
1481826106362494513,172,1481826106361523997,,1498.0,0.0
1481826106382272218,173,1481826106381226755,,1499.0,0.0
1481826106407116406,174,1481826106402252943,,1498.0,0.0
1481826106422579134,175,1481826106421040393,,1499.0,0.0
1481826106442609182,176,1481826106441536479,,1498.0,0.0
1481826106462179544,177,1481826106461057571,,1497.0,0.0
1481826106482740058,178,1481826106481749438,,1498.0,0.0
1481826106503684631,179,1481826106502688178,,1498.0,0.0
1481826106522797392,180,1481826106521737502,,1498.0,0.0
1481826106542386348,181,1481826106541438853,,1499.0,0.0
1481826106563282954,182,1481826106561503432,,1498.0,0.0
1481826106583220970,183,1481826106581513896,,1498.0,0.0
1481826106603031384,184,1481826106601398892,,1498.0,0.0
1481826106622937994,185,1481826106621476544,,1498.0,0.0
1481826106643664913,186,1481826106641357009,,1499.0,0.0
1481826106662142573,187,1481826106661073725,,1498.0,0.0
1481826106682789336,188,1481826106680995700,,1498.0,0.0
1481826106702491260,189,1481826106701025174,,1499.0,0.0
1481826106722100945,190,1481826106721030378,,1499.0,0.0
1481826106742017816,191,1481826106741030165,,1498.0,0.0
1481826106762564267,192,1481826106761015994,,1498.0,0.0
1481826106781989630,193,1481826106781013490,,1498.0,0.0
1481826106802237229,194,1481826106801182703,,1498.0,0.0
1481826106822528421,195,1481826106821033168,,1499.0,0.0
1481826106845159496,196,1481826106841186549,,1499.0,0.0
1481826106862500443,197,1481826106861027274,,1498.0,0.0
1481826106882906114,198,1481826106881086384,,1498.0,0.0
1481826106903497564,199,1481826106901931687,,1498.0,0.0
1481826106923435685,200,1481826106921048823,,1498.0,0.0
1481826106943183286,201,1481826106940984444,,1498.0,0.0
1481826106962939377,202,1481826106961417146,,1498.0,0.0
1481826106983923690,203,1481826106981089955,,1499.0,0.0
1481826107002284684,204,1481826107001134326,,1498.0,0.0
1481826107022681865,205,1481826107021084790,,1499.0,0.0
1481826107042923005,206,1481826107041238379,,1498.0,0.0
1481826107063104302,207,1481826107061193687,,1498.0,0.0
1481826107082751226,208,1481826107081293682,,1498.0,0.0
1481826107102880336,209,1481826107101059617,,1498.0,0.0
1481826107122160960,210,1481826107121030029,,1498.0,0.0
1481826107142063248,211,1481826107141019295,,1499.0,0.0
1481826107162216732,212,1481826107161029291,,1493.0,0.0
1481826107182034541,213,1481826107181008714,,1499.0,0.0
1481826107202819741,214,1481826107201051209,,1498.0,0.0
1481826107225116859,215,1481826107221056934,,1498.0,0.0
1481826107242771087,216,1481826107241070367,,1498.0,0.0
1481826107263277329,217,1481826107261280153,,1498.0,0.0
1481826107283308210,218,1481826107281276034,,1499.0,0.0
1481826107302845187,219,1481826107301147592,,1498.0,0.0
1481826107323229608,220,1481826107321247744,,1498.0,0.0
1481826107342371119,221,1481826107341256229,,1498.0,0.0
1481826107363027986,222,1481826107361264610,,1498.0,0.0
1481826107382597567,223,1481826107381051742,,1498.0,0.0
1481826107405263590,224,1481826107403007039,,1499.0,0.0
1481826107422324747,225,1481826107421028816,,1498.0,0.0
1481826107443351143,226,1481826107441033343,,1497.0,0.0
1481826107462956922,227,1481826107461142140,,1498.0,0.0
1481826107484720398,228,1481826107481647446,,1499.0,0.0
1481826107503569514,229,1481826107501471713,,1499.0,0.0
1481826107525564759,230,1481826107521490563,,1498.0,0.0
1481826107542178054,231,1481826107541023425,,1498.0,0.0
1481826107563831999,232,1481826107561024150,,1498.0,0.0
1481826107582282212,233,1481826107581074197,,1499.0,0.0
1481826107603373087,234,1481826107601386743,,1498.0,0.0
1481826107622210536,235,1481826107621072470,,1498.0,0.0
1481826107646185198,236,1481826107641152256,,1499.0,0.0
1481826107662711567,237,1481826107661076107,,1498.0,0.0
1481826107684384886,238,1481826107681054488,,1498.0,0.0
1481826107702994369,239,1481826107701285992,,1499.0,0.0
1481826107722675928,240,1481826107721088125,,1498.0,0.0
1481826107743698262,241,1481826107740991089,,1499.0,0.0
1481826107763000032,242,1481826107761111345,,1497.0,0.0
1481826107783866742,243,1481826107781032382,,1498.0,0.0
1481826107807278281,244,1481826107805072408,,1498.0,0.0
1481826107826094481,245,1481826107821438048,,1498.0,0.0
1481826107847895248,246,1481826107844437559,,1498.0,0.0
1481826107865701870,247,1481826107861244603,,1499.0,0.0
1481826107884335884,248,1481826107881164182,,1498.0,0.0
1481826107909054135,249,1481826107905565664,,1498.0,0.0
1481826107924643217,250,1481826107921892867,,1499.0,0.0
1481826107943596916,251,1481826107941527396,,1499.0,0.0
1481826107968720790,252,1481826107961799734,,1498.0,0.0
1481826107986272674,253,1481826107981141608,,1498.0,0.0
1481826108006526939,254,1481826108001269624,,1499.0,0.0
1481826108027855990,255,1481826108023369400,,1499.0,0.0
1481826108043342781,256,1481826108041461645,,1499.0,0.0
1481826108063254652,257,1481826108061187580,,1499.0,0.0
1481826108083110429,258,1481826108081006482,,1498.0,0.0
1481826108102180430,259,1481826108101026634,,1497.0,0.0
1481826108124755464,260,1481826108121026942,,1498.0,0.0
1481826108142863647,261,1481826108140992407,,1498.0,0.0
1481826108166363259,262,1481826108160979173,,1499.0,0.0
1481826108182799003,263,1481826108180979065,,1498.0,0.0
1481826108204834195,264,1481826108201044372,,1498.0,0.0
1481826108223236648,265,1481826108221046451,,1498.0,0.0
1481826108243140967,266,1481826108241003687,,1498.0,0.0
1481826108264644600,267,1481826108260983734,,1498.0,0.0
1481826108284481784,268,1481826108281047688,,1498.0,0.0
1481826108303321109,269,1481826108301104246,,1498.0,0.0
1481826108323986882,270,1481826108320998565,,1497.0,0.0
1481826108343672973,271,1481826108341017987,,1498.0,0.0
1481826108362971253,272,1481826108361056680,,1499.0,0.0
1481826108383920410,273,1481826108381013239,,1498.0,0.0
1481826108406214144,274,1481826108401498857,,1499.0,0.0
1481826108425889558,275,1481826108421021771,,1498.0,0.0
1481826108443603680,276,1481826108441051559,,1498.0,0.0
1481826108464657785,277,1481826108460996294,,1498.0,0.0
1481826108483050549,278,1481826108481024831,,1498.0,0.0
1481826108504382933,279,1481826108501129357,,1498.0,0.0
1481826108522713876,280,1481826108521019822,,1498.0,0.0
1481826108543300326,281,1481826108541261848,,1498.0,0.0
1481826108562309963,282,1481826108561055699,,1498.0,0.0
1481826108586014313,283,1481826108581107673,,1498.0,0.0
1481826108602801045,284,1481826108601033815,,1498.0,0.0
1481826108622791613,285,1481826108621070998,,1498.0,0.0
1481826108642735984,286,1481826108641110889,,1497.0,0.0
1481826108663200821,287,1481826108661047812,,1499.0,0.0
1481826108683130348,288,1481826108681239317,,1498.0,0.0
1481826108702642951,289,1481826108701043793,,1498.0,0.0
1481826108723722315,290,1481826108721313057,,1499.0,0.0
1481826108743245386,291,1481826108741352167,,1498.0,0.0
1481826108763627671,292,1481826108761117164,,1498.0,0.0
1481826108782669078,293,1481826108781127316,,1498.0,0.0
1481826108803676777,294,1481826108801278144,,1498.0,0.0
1481826108822849589,295,1481826108821330639,,1498.0,0.0
1481826108843990516,296,1481826108841289125,,1498.0,0.0
1481826108862974684,297,1481826108861258600,,1497.0,0.0
1481826108884000195,298,1481826108881310574,,1498.0,0.0
1481826108904305397,299,1481826108902018951,,1499.0,0.0
1481826108924286278,300,1481826108921343534,,1498.0,0.0
1481826108942906333,301,1481826108941289467,,1498.0,0.0
1481826108963052318,302,1481826108961441181,,1498.0,0.0
1481826108983086740,303,1481826108981291437,,1499.0,0.0
1481826109004286625,304,1481826109001130861,,1498.0,0.0
1481826109027009783,305,1481826109021053826,,1498.0,0.0
1481826109042532719,306,1481826109041006373,,1498.0,0.0
1481826109066928420,307,1481826109061003765,,1498.0,0.0
