%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481826105842316087,141,1481826105741204553,,1418.0,0.0
1481826105842358691,142,1481826105761154549,,1418.0,0.0
1481826105842433639,143,1481826105782128446,,1418.0,0.0
1481826105842709002,144,1481826105801278810,,1418.0,0.0
1481826105842743273,145,1481826105821253910,,1418.0,0.0
1481826105845489039,146,1481826105841509529,,1418.0,0.0
1481826105862505822,147,1481826105861201506,,1418.0,0.0
1481826105883370448,148,1481826105881060721,,1418.0,0.0
1481826105907536410,149,1481826105901808421,,1418.0,0.0
1481826105924015956,150,1481826105921048472,,1418.0,0.0
1481826105942582470,151,1481826105941309769,,1419.0,0.0
1481826105964564434,152,1481826105961147525,,1418.0,0.0
1481826105982781158,153,1481826105981215958,,1418.0,0.0
1481826106004820726,154,1481826106001350640,,1418.0,0.0
1481826106023028856,155,1481826106021210220,,1419.0,0.0
1481826106043697390,156,1481826106041223341,,1418.0,0.0
1481826106063347023,157,1481826106061008858,,1418.0,0.0
1481826106089393600,158,1481826106081424008,,1418.0,0.0
1481826106103762376,159,1481826106101461555,,1418.0,0.0
1481826106126239441,160,1481826106121142907,,1418.0,0.0
1481826106142994507,161,1481826106141488473,,1418.0,0.0
1481826106168130308,162,1481826106163033252,,1418.0,0.0
1481826106184294959,163,1481826106181675911,,1417.0,0.0
1481826106202765120,164,1481826106201199399,,1419.0,0.0
1481826106225230466,165,1481826106221613559,,1418.0,0.0
1481826106243082088,166,1481826106241140015,,1418.0,0.0
1481826106263364009,167,1481826106261412718,,1418.0,0.0
1481826106283945512,168,1481826106281739118,,1418.0,0.0
1481826106304237069,169,1481826106301271095,,1418.0,0.0
1481826106323541443,170,1481826106321101456,,1419.0,0.0
1481826106344671797,171,1481826106341433064,,1419.0,0.0
1481826106363534351,172,1481826106361530143,,1418.0,0.0
1481826106383906532,173,1481826106381231911,,1418.0,0.0
1481826106407206614,174,1481826106402258047,,1418.0,0.0
1481826106422980955,175,1481826106421047007,,1418.0,0.0
1481826106443582406,176,1481826106441542208,,1419.0,0.0
1481826106463517297,177,1481826106461064238,,1419.0,0.0
1481826106483802031,178,1481826106481754855,,1419.0,0.0
1481826106505515090,179,1481826106502693647,,1418.0,0.0
1481826106523866136,180,1481826106521743023,,1418.0,0.0
1481826106544208474,181,1481826106541444426,,1418.0,0.0
1481826106564015502,182,1481826106561508953,,1418.0,0.0
1481826106584212736,183,1481826106581519157,,1419.0,0.0
1481826106603792056,184,1481826106601404361,,1419.0,0.0
1481826106623780854,185,1481826106621482429,,1418.0,0.0
1481826106643975119,186,1481826106641362790,,1418.0,0.0
1481826106662680955,187,1481826106661079558,,1419.0,0.0
1481826106683634383,188,1481826106681001273,,1419.0,0.0
1481826106703047976,189,1481826106701031112,,1418.0,0.0
1481826106723517708,190,1481826106721036159,,1417.0,0.0
1481826106742605521,191,1481826106741035842,,1418.0,0.0
1481826106763440044,192,1481826106761021567,,1419.0,0.0
1481826106783134155,193,1481826106781019063,,1419.0,0.0
1481826106803139828,194,1481826106801188849,,1419.0,0.0
1481826106822635868,195,1481826106821039523,,1417.0,0.0
1481826106850406498,196,1481826106841191705,,1417.0,0.0
1481826106862585130,197,1481826106861032899,,1418.0,0.0
1481826106883094238,198,1481826106881091749,,1418.0,0.0
1481826106903587043,199,1481826106901936687,,1418.0,0.0
1481826106924750626,200,1481826106921054657,,1418.0,0.0
1481826106943604065,201,1481826106940990434,,1418.0,0.0
1481826106963773643,202,1481826106961422823,,1419.0,0.0
1481826106984119210,203,1481826106981095633,,1418.0,0.0
1481826107002839837,204,1481826107001140367,,1418.0,0.0
1481826107023076290,205,1481826107021090832,,1419.0,0.0
1481826107043384669,206,1481826107041244212,,1418.0,0.0
1481826107064166379,207,1481826107061199885,,1418.0,0.0
1481826107083905387,208,1481826107081300297,,1418.0,0.0
1481826107103486062,209,1481826107101065971,,1419.0,0.0
1481826107122768144,210,1481826107121036018,,1418.0,0.0
1481826107142765484,211,1481826107141025285,,1418.0,0.0
1481826107162835791,212,1481826107161034707,,1418.0,0.0
1481826107182842349,213,1481826107181014599,,1418.0,0.0
1481826107203099219,214,1481826107201056990,,1419.0,0.0
1481826107225785918,215,1481826107221062975,,1418.0,0.0
1481826107242881294,216,1481826107241075679,,1419.0,0.0
1481826107263668733,217,1481826107261286767,,1419.0,0.0
1481826107283917113,218,1481826107281282179,,1418.0,0.0
1481826107303488830,219,1481826107301153270,,1419.0,0.0
1481826107324477570,220,1481826107321253629,,1419.0,0.0
1481826107343238249,221,1481826107341262010,,1418.0,0.0
1481826107363817513,222,1481826107361270808,,1419.0,0.0
1481826107382702775,223,1481826107381057731,,1419.0,0.0
1481826107405438641,224,1481826107403015477,,1418.0,0.0
1481826107422741672,225,1481826107421034337,,1419.0,0.0
1481826107443432289,226,1481826107441038812,,1419.0,0.0
1481826107463912229,227,1481826107461147713,,1420.0,0.0
1481826107485200447,228,1481826107481653018,,1418.0,0.0
1481826107503970449,229,1481826107501477598,,1418.0,0.0
1481826107527212198,230,1481826107521496500,,1418.0,0.0
1481826107542837999,231,1481826107541028998,,1419.0,0.0
1481826107563949290,232,1481826107561030400,,1419.0,0.0
1481826107582891792,233,1481826107581080083,,1418.0,0.0
1481826107603633033,234,1481826107601392733,,1418.0,0.0
1481826107622797148,235,1481826107621078095,,1419.0,0.0
1481826107647626753,236,1481826107641157881,,1418.0,0.0
1481826107663071721,237,1481826107661081784,,1418.0,0.0
1481826107685511859,238,1481826107681059852,,1418.0,0.0
1481826107703083066,239,1481826107701292086,,1418.0,0.0
1481826107723089884,240,1481826107721094687,,1418.0,0.0
1481826107743921438,241,1481826107740997235,,1418.0,0.0
1481826107763447426,242,1481826107761117334,,1418.0,0.0
1481826107783953408,243,1481826107781038059,,1419.0,0.0
1481826107807406406,244,1481826107805078866,,1419.0,0.0
1481826107826185158,245,1481826107821444611,,1418.0,0.0
1481826107848632901,246,1481826107844444382,,1418.0,0.0
1481826107865491247,247,1481826107861250072,,1418.0,0.0
1481826107883522763,248,1481826107881170172,,1418.0,0.0
1481826107907451487,249,1481826107905574258,,1419.0,0.0
1481826107923537129,250,1481826107921902347,,1418.0,0.0
1481826107943717124,251,1481826107941533334,,1418.0,0.0
1481826107964144617,252,1481826107961805619,,1419.0,0.0
1481826107983348940,253,1481826107981147806,,1419.0,0.0
1481826108002741283,254,1481826108001275822,,1418.0,0.0
1481826108025860324,255,1481826108023376483,,1417.0,0.0
1481826108043632415,256,1481826108041468156,,1417.0,0.0
1481826108063369287,257,1481826108061194976,,1418.0,0.0
1481826108083715999,258,1481826108081012628,,1419.0,0.0
1481826108102766937,259,1481826108101032624,,1418.0,0.0
1481826108126196758,260,1481826108121033140,,1419.0,0.0
1481826108142964011,261,1481826108140998500,,1417.0,0.0
1481826108162368905,262,1481826108160984954,,1418.0,0.0
1481826108182902127,263,1481826108180984585,,1420.0,0.0
1481826108206185074,264,1481826108201049997,,1419.0,0.0
1481826108223345345,265,1481826108221051972,,1419.0,0.0
1481826108243228362,266,1481826108241009312,,1418.0,0.0
1481826108262220707,267,1481826108260989776,,1419.0,0.0
1481826108282047110,268,1481826108281053938,,1419.0,0.0
1481826108303533191,269,1481826108301110183,,1418.0,0.0
1481826108321996788,270,1481826108321004346,,1418.0,0.0
1481826108342092513,271,1481826108341024550,,1419.0,0.0
1481826108363372710,272,1481826108361062358,,1418.0,0.0
1481826108385044259,273,1481826108381019072,,1418.0,0.0
1481826108406785911,274,1481826108401503752,,1418.0,0.0
1481826108424778314,275,1481826108421027813,,1418.0,0.0
1481826108443093579,276,1481826108441057288,,1418.0,0.0
1481826108466216995,277,1481826108461002231,,1418.0,0.0
1481826108483424349,278,1481826108481030612,,1419.0,0.0
1481826108505781520,279,1481826108501134826,,1419.0,0.0
1481826108523208248,280,1481826108521025187,,1419.0,0.0
1481826108546099842,281,1481826108541267629,,1419.0,0.0
1481826108563119073,282,1481826108561062261,,1418.0,0.0
1481826108586576341,283,1481826108581114235,,1418.0,0.0
1481826108602889638,284,1481826108601039648,,1418.0,0.0
1481826108624411344,285,1481826108621077352,,1419.0,0.0
1481826108644204622,286,1481826108641116618,,1419.0,0.0
1481826108664903937,287,1481826108661054010,,1419.0,0.0
1481826108684440237,288,1481826108681245358,,1418.0,0.0
1481826108703010605,289,1481826108701050303,,1419.0,0.0
1481826108723824554,290,1481826108721318787,,1418.0,0.0
1481826108743335907,291,1481826108741358053,,1418.0,0.0
1481826108763707879,292,1481826108761122737,,1418.0,0.0
1481826108782755953,293,1481826108781133722,,1418.0,0.0
1481826108803778495,294,1481826108801283977,,1419.0,0.0
1481826108822930474,295,1481826108821336629,,1419.0,0.0
1481826108845221968,296,1481826108841294958,,1419.0,0.0
1481826108863359109,297,1481826108861265006,,1418.0,0.0
1481826108884188371,298,1481826108881316303,,1419.0,0.0
1481826108905229975,299,1481826108902024212,,1418.0,0.0
1481826108924306174,300,1481826108921443377,,1419.0,0.0
1481826108943157894,301,1481826108941295561,,1418.0,0.0
1481826108963311743,302,1481826108961446649,,1419.0,0.0
1481826108984507618,303,1481826108981297271,,1418.0,0.0
1481826109005144224,304,1481826109001136434,,1418.0,0.0
1481826109027110876,305,1481826109021059659,,1419.0,0.0
1481826109042924488,306,1481826109041011946,,1419.0,0.0
1481826109067026024,307,1481826109061009754,,1418.0,0.0
1481826109083258488,308,1481826109081012198,,1419.0,0.0
1481826109108028093,309,1481826109101034485,,1419.0,0.0
1481826109123775351,310,1481826109121068387,,1417.0,0.0
1481826109145471900,311,1481826109141005205,,1419.0,0.0
1481826109163339095,312,1481826109161024784,,1418.0,0.0
1481826109183978878,313,1481826109180999624,,1419.0,0.0
1481826109202904453,314,1481826109201160556,,1419.0,0.0
1481826109227721193,315,1481826109221220291,,1418.0,0.0
1481826109243609805,316,1481826109241111953,,1418.0,0.0
1481826109264152453,317,1481826109260983460,,1418.0,0.0
1481826109282346105,318,1481826109281051789,,1418.0,0.0
1481826109305045929,319,1481826109301084961,,1418.0,0.0
1481826109322928853,320,1481826109321046571,,1419.0,0.0
1481826109342014374,321,1481826109341127556,,1419.0,0.0
1481826109362073276,322,1481826109361030521,,1418.0,0.0
1481826109382124000,323,1481826109381085100,,1418.0,0.0
1481826109404328984,324,1481826109402660712,,1418.0,0.0
1481826109422014773,325,1481826109421001966,,1418.0,0.0
1481826109442137008,326,1481826109441246231,,1418.0,0.0
1481826109462075649,327,1481826109461042738,,1418.0,0.0
1481826109483771417,328,1481826109481259764,,1418.0,0.0
1481826109502988708,329,1481826109501190385,,1418.0,0.0
1481826109523961303,330,1481826109521170953,,1418.0,0.0
1481826109543456822,331,1481826109541120168,,1419.0,0.0
1481826109563972440,332,1481826109561203080,,1418.0,0.0
1481826109582862858,333,1481826109581081982,,1419.0,0.0
1481826109603013999,334,1481826109601152030,,1418.0,0.0
1481826109622240144,335,1481826109621165358,,1418.0,0.0
1481826109642482951,336,1481826109641226604,,1418.0,0.0
1481826109663605805,337,1481826109661109464,,1419.0,0.0
1481826109685227094,338,1481826109681041439,,1419.0,0.0
1481826109702648041,339,1481826109701053206,,1418.0,0.0
1481826109723699854,340,1481826109721150493,,1418.0,0.0
1481826109742528085,341,1481826109741014395,,1418.0,0.0
1481826109762510789,342,1481826109760975433,,1418.0,0.0
1481826109783197864,343,1481826109780969386,,1419.0,0.0
1481826109802680050,344,1481826109800999121,,1419.0,0.0
1481826109823753165,345,1481826109820983388,,1418.0,0.0
1481826109843174153,346,1481826109841023487,,1419.0,0.0
1481826109863646490,347,1481826109861001816,,1418.0,0.0
1481826109883694297,348,1481826109881006812,,1419.0,0.0
1481826109906624902,349,1481826109901447691,,1418.0,0.0
1481826109922911584,350,1481826109921269093,,1418.0,0.0
1481826109945247869,351,1481826109941151069,,1419.0,0.0
1481826109963314490,352,1481826109961254762,,1418.0,0.0
1481826109984909998,353,1481826109981190747,,1418.0,0.0
1481826110002930525,354,1481826110001289805,,1418.0,0.0
1481826110025364466,355,1481826110021164905,,1418.0,0.0
1481826110043484628,356,1481826110041228286,,1418.0,0.0
1481826110062118589,357,1481826110061160157,,1418.0,0.0
1481826110082207126,358,1481826110081247235,,1419.0,0.0
1481826110102452172,359,1481826110101089106,,1418.0,0.0
1481826110122110919,360,1481826110121111498,,1419.0,0.0
1481826110144663245,361,1481826110141170920,,1417.0,0.0
1481826110167877233,362,1481826110161232165,,1418.0,0.0
1481826110183004287,363,1481826110181059401,,1418.0,0.0
1481826110201985746,364,1481826110201020126,,1419.0,0.0
1481826110222119335,365,1481826110221071372,,1418.0,0.0
1481826110242986669,366,1481826110241778863,,1418.0,0.0
1481826110263025310,367,1481826110261072456,,1418.0,0.0
1481826110282118592,368,1481826110281158076,,1419.0,0.0
1481826110303499518,369,1481826110301660153,,1418.0,0.0
1481826110322458269,370,1481826110321120776,,1419.0,0.0
1481826110342948991,371,1481826110341059262,,1418.0,0.0
1481826110368905412,372,1481826110361039882,,1418.0,0.0
1481826110382943357,373,1481826110381029878,,1419.0,0.0
1481826110413904491,374,1481826110401495444,,1418.0,0.0
1481826110422776578,375,1481826110421030025,,1418.0,0.0
1481826110444703751,376,1481826110441615538,,1419.0,0.0
1481826110464242811,377,1481826110461005485,,1419.0,0.0
1481826110484457702,378,1481826110481026939,,1419.0,0.0
1481826110503242235,379,1481826110501073184,,1419.0,0.0
1481826110523452229,380,1481826110521125003,,1418.0,0.0
1481826110546690332,381,1481826110541029894,,1419.0,0.0
1481826110563529147,382,1481826110561136973,,1418.0,0.0
1481826110582283264,383,1481826110581067437,,1419.0,0.0
1481826110602319197,384,1481826110601338317,,1418.0,0.0
1481826110626060578,385,1481826110621545238,,1417.0,0.0
1481826110642957049,386,1481826110641060080,,1418.0,0.0
1481826110667729363,387,1481826110661020857,,1419.0,0.0
1481826110682870530,388,1481826110681241060,,1418.0,0.0
1481826110707711958,389,1481826110701132567,,1418.0,0.0
1481826110723072291,390,1481826110721149698,,1418.0,0.0
1481826110748179707,391,1481826110741537972,,1418.0,0.0
1481826110763713998,392,1481826110761535312,,1419.0,0.0
1481826110788451103,393,1481826110781391714,,1419.0,0.0
1481826110803805238,394,1481826110801556032,,1418.0,0.0
1481826110829669160,395,1481826110821530455,,1418.0,0.0
1481826110843871219,396,1481826110841582221,,1418.0,0.0
1481826110865170478,397,1481826110861529925,,1418.0,0.0
1481826110888353998,398,1481826110881225860,,1419.0,0.0
1481826110913830162,399,1481826110906825512,,1419.0,0.0
1481826110929104714,400,1481826110921159757,,1419.0,0.0
1481826110943173336,401,1481826110941536157,,1418.0,0.0
1481826110968580541,402,1481826110961534694,,1418.0,0.0
1481826110983277076,403,1481826110981226150,,1419.0,0.0
1481826111003081239,404,1481826111001509425,,1418.0,0.0
1481826111023617118,405,1481826111021423536,,1418.0,0.0
1481826111044013621,406,1481826111041289469,,1419.0,0.0
1481826111063056070,407,1481826111061086133,,1418.0,0.0
1481826111083378772,408,1481826111081204878,,1418.0,0.0
1481826111103008613,409,1481826111101046437,,1418.0,0.0
1481826111123264806,410,1481826111121038932,,1419.0,0.0
1481826111142997459,411,1481826111141058563,,1419.0,0.0
1481826111163268495,412,1481826111161011007,,1419.0,0.0
1481826111183695779,413,1481826111181197668,,1418.0,0.0
1481826111202312293,414,1481826111201115008,,1418.0,0.0
1481826111223366137,415,1481826111221326929,,1417.0,0.0
1481826111245241487,416,1481826111242212858,,1419.0,0.0
1481826111262971130,417,1481826111261218900,,1418.0,0.0
1481826111285757569,418,1481826111281354312,,1418.0,0.0
1481826111302994611,419,1481826111301332120,,1418.0,0.0
1481826111322804034,420,1481826111321200606,,1418.0,0.0
1481826111343628088,421,1481826111341280549,,1418.0,0.0
1481826111363048660,422,1481826111361376429,,1419.0,0.0
1481826111388839509,423,1481826111381461893,,1419.0,0.0
1481826111406507851,424,1481826111402285686,,1418.0,0.0
1481826111425102541,425,1481826111421315427,,1418.0,0.0
1481826111443077236,426,1481826111441036882,,1418.0,0.0
1481826111466202839,427,1481826111461035992,,1419.0,0.0
1481826111482758062,428,1481826111481126612,,1418.0,0.0
1481826111510440411,429,1481826111501058275,,1418.0,0.0
1481826111523104613,430,1481826111521110614,,1419.0,0.0
1481826111546422716,431,1481826111541106547,,1418.0,0.0
1481826111563011376,432,1481826111561154355,,1418.0,0.0
1481826111585022090,433,1481826111581209090,,1419.0,0.0
1481826111603530479,434,1481826111601093617,,1418.0,0.0
1481826111629270808,435,1481826111622062722,,1419.0,0.0
1481826111643233753,436,1481826111641065535,,1418.0,0.0
1481826111663610205,437,1481826111660971990,,1418.0,0.0
1481826111686218051,438,1481826111681689273,,1418.0,0.0
1481826111703147282,439,1481826111701164740,,1418.0,0.0
1481826111729493493,440,1481826111721509630,,1418.0,0.0
1481826111743332168,441,1481826111741502698,,1419.0,0.0
1481826111768669686,442,1481826111761407694,,1418.0,0.0
1481826111783851583,443,1481826111781677636,,1418.0,0.0
1481826111809356757,444,1481826111801771902,,1419.0,0.0
1481826111823237671,445,1481826111821057214,,1419.0,0.0
1481826111849620184,446,1481826111841578978,,1418.0,0.0
1481826111863043497,447,1481826111861486786,,1418.0,0.0
1481826111888708253,448,1481826111881674385,,1418.0,0.0
1481826111911671983,449,1481826111902378179,,1417.0,0.0
1481826111928296528,450,1481826111921597502,,1417.0,0.0
1481826111943042385,451,1481826111941530050,,1418.0,0.0
1481826111968114749,452,1481826111961535305,,1419.0,0.0
1481826111983603779,453,1481826111981889674,,1419.0,0.0
1481826112010603945,454,1481826112002611749,,1419.0,0.0
1481826112023820019,455,1481826112022040394,,1418.0,0.0
1481826112044345325,456,1481826112041225550,,1419.0,0.0
1481826112068868525,457,1481826112061187056,,1418.0,0.0
1481826112082751731,458,1481826112081214291,,1418.0,0.0
1481826112109153983,459,1481826112101354025,,1419.0,0.0
1481826112123063126,460,1481826112121155637,,1419.0,0.0
1481826112148732935,461,1481826112141086674,,1418.0,0.0
1481826112162777286,462,1481826112161178076,,1418.0,0.0
1481826112188805009,463,1481826112181059009,,1418.0,0.0
1481826112202929515,464,1481826112201232389,,1418.0,0.0
1481826112225402987,465,1481826112221251603,,1418.0,0.0
1481826112243204765,466,1481826112241177277,,1418.0,0.0
1481826112263205178,467,1481826112261111960,,1418.0,0.0
1481826112282590697,468,1481826112281200184,,1419.0,0.0
1481826112303323762,469,1481826112301175753,,1418.0,0.0
1481826112322982249,470,1481826112321292883,,1419.0,0.0
1481826112342832245,471,1481826112341150848,,1418.0,0.0
1481826112362576878,472,1481826112361032928,,1419.0,0.0
1481826112386748153,473,1481826112381052454,,1418.0,0.0
1481826112406772627,474,1481826112404581702,,1418.0,0.0
1481826112423727171,475,1481826112421193070,,1418.0,0.0
1481826112445900800,476,1481826112441078951,,1418.0,0.0
1481826112463703672,477,1481826112461082697,,1419.0,0.0
1481826112482835079,478,1481826112481004985,,1418.0,0.0
1481826112502700336,479,1481826112501140552,,1418.0,0.0
1481826112529443628,480,1481826112521086173,,1418.0,0.0
1481826112542991106,481,1481826112541054815,,1419.0,0.0
1481826112563341256,482,1481826112561027883,,1419.0,0.0
1481826112583061566,483,1481826112581044493,,1419.0,0.0
1481826112603194217,484,1481826112601029333,,1418.0,0.0
1481826112622730569,485,1481826112621056412,,1418.0,0.0
1481826112643452488,486,1481826112641026563,,1420.0,0.0
1481826112662675092,487,1481826112661011767,,1420.0,0.0
1481826112684482525,488,1481826112681035305,,1419.0,0.0
1481826112702701020,489,1481826112701032592,,1418.0,0.0
1481826112727358595,490,1481826112721073316,,1418.0,0.0
1481826112742613824,491,1481826112741063104,,1418.0,0.0
1481826112762718507,492,1481826112761142370,,1418.0,0.0
1481826112782961105,493,1481826112781075438,,1418.0,0.0
1481826112803878752,494,1481826112801746003,,1418.0,0.0
1481826112823132918,495,1481826112821249856,,1419.0,0.0
1481826112842986925,496,1481826112841188393,,1418.0,0.0
1481826112862733745,497,1481826112861214326,,1419.0,0.0
1481826112883036031,498,1481826112881230624,,1418.0,0.0
1481826112908028134,499,1481826112901920772,,1418.0,0.0
1481826112923447738,500,1481826112921420405,,1418.0,0.0
1481826112943038101,501,1481826112941209360,,1419.0,0.0
1481826112963104606,502,1481826112961264095,,1419.0,0.0
1481826112985418495,503,1481826112981178779,,1418.0,0.0
1481826113003111472,504,1481826113001301274,,1418.0,0.0
1481826113025734995,505,1481826113021571997,,1418.0,0.0
1481826113043130682,506,1481826113041222672,,1419.0,0.0
1481826113065139469,507,1481826113061415062,,1418.0,0.0
1481826113083137340,508,1481826113081165632,,1418.0,0.0
1481826113105218314,509,1481826113101391459,,1418.0,0.0
1481826113123514464,510,1481826113121637079,,1418.0,0.0
1481826113145068722,511,1481826113141475929,,1418.0,0.0
1481826113162966437,512,1481826113161123739,,1418.0,0.0
1481826113186900058,513,1481826113182837423,,1419.0,0.0
1481826113203388718,514,1481826113201551853,,1418.0,0.0
1481826113227710409,515,1481826113223468661,,1418.0,0.0
1481826113243600635,516,1481826113241756947,,1419.0,0.0
1481826113263703338,517,1481826113261455121,,1419.0,0.0
1481826113285612907,518,1481826113281219649,,1418.0,0.0
1481826113303079166,519,1481826113301189176,,1418.0,0.0
1481826113326611278,520,1481826113322028595,,1418.0,0.0
1481826113343331500,521,1481826113341493645,,1419.0,0.0
1481826113365654712,522,1481826113361595515,,1419.0,0.0
1481826113383333157,523,1481826113381513844,,1419.0,0.0
1481826113406293397,524,1481826113402313784,,1419.0,0.0
1481826113423634241,525,1481826113421230973,,1419.0,0.0
1481826113445736048,526,1481826113441548206,,1418.0,0.0
1481826113463313556,527,1481826113461475389,,1418.0,0.0
1481826113485826090,528,1481826113481559812,,1418.0,0.0
1481826113503693441,529,1481826113501423454,,1418.0,0.0
1481826113526522953,530,1481826113521750947,,1418.0,0.0
1481826113543727391,531,1481826113541448809,,1419.0,0.0
1481826113566540444,532,1481826113561853646,,1418.0,0.0
1481826113583623789,533,1481826113581360728,,1418.0,0.0
1481826113604398936,534,1481826113601524160,,1418.0,0.0
1481826113626129391,535,1481826113621619936,,1418.0,0.0
1481826113642630656,536,1481826113641062539,,1419.0,0.0
1481826113665309803,537,1481826113661399356,,1418.0,0.0
1481826113683800849,538,1481826113681603621,,1418.0,0.0
1481826113703829542,539,1481826113701430284,,1418.0,0.0
1481826113723401311,540,1481826113721507884,,1418.0,0.0
1481826113743510420,541,1481826113741428192,,1419.0,0.0
1481826113764256141,542,1481826113762458963,,1419.0,0.0
1481826113782930571,543,1481826113781135320,,1418.0,0.0
1481826113802805359,544,1481826113801227503,,1419.0,0.0
1481826113822807281,545,1481826113821143801,,1419.0,0.0
1481826113842998370,546,1481826113841310983,,1419.0,0.0
1481826113863911589,547,1481826113861889100,,1418.0,0.0
1481826113883559087,548,1481826113881117329,,1418.0,0.0
1481826113907831820,549,1481826113905436260,,1418.0,0.0
